#Query	#lca rank	#lca taxon	#superkingdom	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV45	species	Hydrolagus colliei	Eukaryota	Metazoa	Chordata	Chondrichthyes	Chimaeriformes	Chimaeridae	Hydrolagus	Hydrolagus colliei	best hit
ASV46	species	Sebastes aleutianus	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	Sebastes aleutianus	best hit
ASV48	species	Squalus acanthias	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV49	species	Microstomus kitt	Eukaryota	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Microstomus	Microstomus kitt	best hit
ASV50	species	Canis lupus familiaris	Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus familiaris	best hit
ASV51	family	Pholidae	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	no identification	lca
ASV52	species	Microstomus pacificus	Eukaryota	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Microstomus	Microstomus pacificus	best hit
ASV53	species	Sus scrofa	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	best hit
ASV54	species	Oncorhynchus gorbuscha	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus gorbuscha	best hit
ASV55	species	Cymatogaster aggregata	Eukaryota	Metazoa	Chordata	Actinopteri	unknown order	Embiotocidae	Cymatogaster	Cymatogaster aggregata	best hit
ASV56	species	Hydrolagus colliei	Eukaryota	Metazoa	Chordata	Chondrichthyes	Chimaeriformes	Chimaeridae	Hydrolagus	Hydrolagus colliei	best hit
ASV57	species	Hippoglossoides platessoides	Eukaryota	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Hippoglossoides	Hippoglossoides platessoides	best hit
ASV58	species	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV59	species	Clupea pallasii	Eukaryota	Metazoa	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV60	species	Gadus morhua	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV61	species	Gadus morhua	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV62	species	Spirinchus lanceolatus	Eukaryota	Metazoa	Chordata	Actinopteri	Osmeriformes	Osmeridae	Spirinchus	Spirinchus lanceolatus	best hit
ASV64	species	Eopsetta jordani	Eukaryota	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Eopsetta	Eopsetta jordani	best hit
ASV65	species	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV66	species	Anoplopoma fimbria	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	best hit
ASV67	species	Felis catus	Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Felidae	Felis	Felis catus	best hit
ASV68	species	Eumetopias jubatus	Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Otariidae	Eumetopias	Eumetopias jubatus	best hit
ASV69	species	Squalus acanthias	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV70	species	Anoplopoma fimbria	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	best hit
ASV71	species	Hexagrammos decagrammus	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos decagrammus	best hit
ASV72	species	Leptoclinus maculatus	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Stichaeidae	Leptoclinus	Leptoclinus maculatus	best hit
ASV73	species	Homo sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV74	species	Anoplopoma fimbria	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	best hit
ASV75	family	Paralichthyidae	Eukaryota	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	no identification	lca
ASV76	species	Squalus acanthias	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV77	species	Gadus chalcogrammus	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus chalcogrammus	best hit
ASV78	species	Psettichthys melanostictus	Eukaryota	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Psettichthys	Psettichthys melanostictus	best hit
ASV79	species	Phocoena phocoena	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Phocoenidae	Phocoena	Phocoena phocoena	best hit
ASV80	species	Clupea pallasii	Eukaryota	Metazoa	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV81	species	Canis lupus familiaris	Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus familiaris	best hit
ASV82	species	Squalus acanthias	Eukaryota	Metazoa	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus acanthias	best hit
ASV83	species	Hydrolagus colliei	Eukaryota	Metazoa	Chordata	Chondrichthyes	Chimaeriformes	Chimaeridae	Hydrolagus	Hydrolagus colliei	best hit
ASV86	species	Atheresthes evermanni	Eukaryota	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Atheresthes	Atheresthes evermanni	best hit
ASV87	species	Clinocottus acuticeps	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Cottidae	Clinocottus	Clinocottus acuticeps	best hit
ASV89	family	Rajidae	Eukaryota	Metazoa	Chordata	Chondrichthyes	Rajiformes	Rajidae	Raja	no identification	lca
ASV90	species	Clupea pallasii	Eukaryota	Metazoa	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV91	species	Anoplopoma fimbria	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	best hit
ASV92	species	Gadus chalcogrammus	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus chalcogrammus	best hit
ASV93	species	Merluccius productus	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius productus	best hit
