kingdom,phylum,class,order,family,genus,LCT,environment,depth_range_min,depth_range_max,max_length_cm,common_length_cm,in_range,habitat
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,pelagic_neritic,0,475,46,25,y,pelagic
Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,pelagic_neritic,0,310,24.8,15,y,pelagic
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,pelagic_oceanic,0,725,20,15,y,pelagic
Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,pelagic_neritic,0,1000,91,NA,y,pelagic
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,pelagic,0,250,108,71,y,pelagic
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,pelagic_oceanic,0,250,84,45,y,pelagic
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,pelagic_neritic,0,549,60,NA,y,pelagic
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,pelagic_neritic,0,300,34,20,y,pelagic
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes flavidus,reef_associated,0,549,66,NA,y,reef_associated
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,reef_associated,0,550,61,NA,y,reef_associated
