#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV46	species	Glyptocephalus zachirus	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Glyptocephalus	Glyptocephalus zachirus	best hit
ASV47	species	Squalus suckleyi	Eukaryota	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus suckleyi	best hit
ASV48	species	Canis lupus familiaris	Eukaryota	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus familiaris	best hit
ASV49	species	Pholis laeta	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Pholis	Pholis laeta	best hit
ASV50	species	Oncorhynchus gorbuscha	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus gorbuscha	best hit
ASV51	species	Sus scrofa	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	best hit
ASV52	species	Microstomus pacificus	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Microstomus	Microstomus pacificus	best hit
ASV53	species	Hydrolagus colliei	Eukaryota	Chordata	Chondrichthyes	Chimaeriformes	Chimaeridae	Hydrolagus	Hydrolagus colliei	best hit
ASV54	species	Cymatogaster aggregata	Eukaryota	Chordata	Actinopteri	unknown order	Embiotocidae	Cymatogaster	Cymatogaster aggregata	best hit
ASV55	species	Hippoglossoides platessoides	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Hippoglossoides	Hippoglossoides platessoides	best hit
ASV56	species	Homo sapiens	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV57	species	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV58	species	Clupea pallasii	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV59	species	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV60	species	Homo sapiens	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV61	species	Thaleichthys pacificus	Eukaryota	Chordata	Actinopteri	Osmeriformes	Osmeridae	Thaleichthys	Thaleichthys pacificus	best hit
ASV62	species	Eopsetta jordani	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Eopsetta	Eopsetta jordani	best hit
ASV63	species	Felis catus	Eukaryota	Chordata	Mammalia	Carnivora	Felidae	Felis	Felis catus	best hit
ASV64	species	Squalus suckleyi	Eukaryota	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus suckleyi	best hit
ASV65	species	Anoplopoma fimbria	Eukaryota	Chordata	Actinopteri	Perciformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	best hit
ASV66	species	Eumetopias jubatus	Eukaryota	Chordata	Mammalia	Carnivora	Otariidae	Eumetopias	Eumetopias jubatus	best hit
ASV67	species	Hexagrammos decagrammus	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos decagrammus	best hit
ASV68	species	Anoplopoma fimbria	Eukaryota	Chordata	Actinopteri	Perciformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	best hit
ASV69	species	Anoplopoma fimbria	Eukaryota	Chordata	Actinopteri	Perciformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	best hit
ASV70	species	Leptoclinus maculatus	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	Leptoclinus	Leptoclinus maculatus	best hit
ASV71	species	Homo sapiens	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV72	species	Gadus chalcogrammus	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus chalcogrammus	best hit
ASV73	species	Citharichthys sordidus	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Cyclopsettidae	Citharichthys	Citharichthys sordidus	best hit
ASV74	species	Isopsetta isolepis	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Isopsetta	Isopsetta isolepis	best hit
ASV75	species	Squalus suckleyi	Eukaryota	Chordata	Chondrichthyes	Squaliformes	Squalidae	Squalus	Squalus suckleyi	best hit
ASV76	species	Clupea pallasii	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV77	species	Canis lupus familiaris	Eukaryota	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus familiaris	best hit
ASV78	species	Phocoena phocoena	Eukaryota	Chordata	Mammalia	Artiodactyla	Phocoenidae	Phocoena	Phocoena phocoena	best hit
ASV80	species	Hydrolagus colliei	Eukaryota	Chordata	Chondrichthyes	Chimaeriformes	Chimaeridae	Hydrolagus	Hydrolagus colliei	best hit
ASV81	species	Anoplopoma fimbria	Eukaryota	Chordata	Actinopteri	Perciformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	best hit
ASV82	species	Lycodapus mandibularis	Eukaryota	Chordata	Actinopteri	Perciformes	Zoarcidae	Lycodapus	Lycodapus mandibularis	best hit
ASV83	species	Clinocottus acuticeps	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Clinocottus	Clinocottus acuticeps	best hit
ASV84	species	Atheresthes evermanni	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Atheresthes	Atheresthes evermanni	best hit
ASV86	species	Phocoenoides dalli	Eukaryota	Chordata	Mammalia	Artiodactyla	Phocoenidae	Phocoenoides	Phocoenoides dalli	best hit
ASV87	species	Clupea pallasii	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV88	species	Gadus chalcogrammus	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus chalcogrammus	best hit
ASV89	species	Clupea pallasii	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV90	species	Merluccius productus	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius productus	best hit
ASV91	species	Raja binoculata	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Raja	Raja binoculata	best hit
ASV92	species	Clupea pallasii	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV93	species	Gadus chalcogrammus	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus chalcogrammus	best hit
ASV94	species	Clupea pallasii	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV95	species	Raja rhina	Eukaryota	Chordata	Chondrichthyes	Rajiformes	Rajidae	Raja	Raja rhina	best hit
ASV97	species	Anoplopoma fimbria	Eukaryota	Chordata	Actinopteri	Perciformes	Anoplopomatidae	Anoplopoma	Anoplopoma fimbria	best hit
ASV98	species	Homo sapiens	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV99	species	Homo sapiens	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV100	species	Gadus morhua	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua	best hit
ASV101	species	Thaleichthys pacificus	Eukaryota	Chordata	Actinopteri	Osmeriformes	Osmeridae	Thaleichthys	Thaleichthys pacificus	best hit
ASV102	species	Phoca vitulina	Eukaryota	Chordata	Mammalia	Carnivora	Phocidae	Phoca	Phoca vitulina	best hit
ASV103	species	Clupea pallasii	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii	best hit
ASV104	species	Meleagris gallopavo	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Meleagris	Meleagris gallopavo	best hit
ASV105	species	Homo sapiens	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV106	species	Gadus chalcogrammus	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus chalcogrammus	best hit
ASV107	species	Sebastes trivittatus	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	Sebastes trivittatus	best hit
ASV108	species	Homo sapiens	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	best hit
ASV110	species	Felis catus	Eukaryota	Chordata	Mammalia	Carnivora	Felidae	Felis	Felis catus	best hit
ASV111	species	Mallotus villosus	Eukaryota	Chordata	Actinopteri	Osmeriformes	Salangidae	Mallotus	Mallotus villosus	best hit
