Leg,Location,Trawl,Date,Species,Size class,Number Retained (for isotopes and other analyses),FA Sample,Comments,Processed?,,,
1,Johnston Strait,5,03-Aug-18,Pasiphaea pacifica,,yes,1 Bag,,?,,,
1,Johnston Strait,5,03-Aug-18,Water Jellies,,yes,4,,,,,
1,Johnston Strait,6,04-Aug-18,Hake,,7,4,,Y,,,
1,Johnston Strait,6,04-Aug-18,Walleye Pollock,,3,3,,Y,,,
1,Johnston Strait,6,04-Aug-18,Pasiphaea tarda,,lots,lots,,Y,,,
1,Johnston Strait,6,04-Aug-18,Spiny Dogfish,small,10,3,smaller size class,Y,,,
1,Johnston Strait,6,04-Aug-18,Lion's Mane Jellyfish,,1,1,,,,,
1,Johnston Strait,6,04-Aug-18,Pacific Herring,,3,3,,Y,,,
1,Johnston Strait,6,04-Aug-18,Eulachon,,6,0,,Y,,,
1,Johnston Strait,6,04-Aug-18,Opalescent Inshore Squid,,2,0,,Y,,,
1,Johnston Strait,6,04-Aug-18,"Zoarcid ""A""",,29,5,,Y,,,
1,Johnston Strait,7,04-Aug-18,Sablefish,,1,1,,Y,,,
1,Johnston Strait,7,04-Aug-18,Opalescent Inshore Squid,,2,2,,Y,,,
1,Johnston Strait,7,04-Aug-18,"Squid ""B""",,1,1,,Y,,,
1,Johnston Strait,7,04-Aug-18,Neomysis rayii,,1,0,,Y,,,
1,Johnston Strait,7,04-Aug-18,Pasiphaea pacifica,,1,1,,Y,,,
1,Johnston Strait,7,04-Aug-18,Pasiphaea tarda,,1,1,,Y (10),,,
1,Johnston Strait,7,04-Aug-18,Coho Salmon,,1,1,,Y,,,
2,Juan de Fuca Strait,8,08-Aug-18,Chinook Salmon,,2,2,scales taken on left side behind dorsal fin (took where could find any scales),Y,,,
2,Juan de Fuca Strait,8,08-Aug-18,Pacific Herring,,10,5,samples taken for isotopes and FA from different individuals,? (we have 2),,,
2,Juan de Fuca Strait,8,08-Aug-18,Walleye Pollock,,10,5,samples taken for isotopes and FA from different individuals,Y,,,
2,Juan de Fuca Strait,8,08-Aug-18,Eulachon,,10,5,samples taken for isotopes and FA from different individuals,Y,,,
2,Juan de Fuca Strait,8,08-Aug-18,Clawed Armhook Squid,,1,1,,Y,,,
2,Juan de Fuca Strait,8,08-Aug-18,Walleye Pollock,juvenile,1,0,,Y,,,
2,Juan de Fuca Strait,9,08-Aug-18,Eulachon,,10,5,samples taken for isotopes and FA from different individuals,Y,,,
2,Juan de Fuca Strait,9,08-Aug-18,Turbot,,4,4,,Y,,,
2,Juan de Fuca Strait,9,08-Aug-18,Chinook Salmon,,1,1,scales taken on lateral line on right side behind dorsal fin (took where could find any scales),Y,,,
2,Juan de Fuca Strait,9,08-Aug-18,Walleye Pollock,large,5,5,,Y,,,
2,Juan de Fuca Strait,9,08-Aug-18,Walleye Pollock,small,5,5,samples taken for isotopes and FA from different individuals,Y,,,
2,Juan de Fuca Strait,9,08-Aug-18,Hake,,10,5,,Y,,,
2,Juan de Fuca Strait,9,08-Aug-18,Pacific Herring,,15,5,,Y,,,
2,Juan de Fuca Strait,9,08-Aug-18,Spiny Dogfish,large,4,4,,Y,,,
2,Juan de Fuca Strait,9,08-Aug-18,Spiny Dogfish,small,10,5,,Y,,,
2,Juan de Fuca Strait,9,08-Aug-18,English Sole,,1,1,,Y,,,
2,Juan de Fuca Strait,9,08-Aug-18,Pasiphaea tarda,,all,0,,N (but 10 Squid C),,,
2,Juan de Fuca Strait,9,08-Aug-18,Myctophid (Diaphus theta),,all,0,,Y,,,
2,Juan de Fuca Strait,9,08-Aug-18,Euphasiid,,all,0,,Y,,,
2,Juan de Fuca Strait,10,10-Aug-18,Eulachon,,2,2,,Y,,,
2,Juan de Fuca Strait,10,10-Aug-18,Chinook Salmon,,14,14,"scales from individuals #27 and #28 taken from right side above lateral line; scales taken from regular spot for rest of them (on right side, 2-3 lines below lateral line, behind dorsal fin)",Y (we have 10),,,
2,Juan de Fuca Strait,10,10-Aug-18,Spiny Dogfish,large,4,4,,Y,,,
2,Juan de Fuca Strait,10,10-Aug-18,Pacific Lamprey,,2,2,,Y,,,
2,Juan de Fuca Strait,10,10-Aug-18,Pacific Herring,large,5,5,,Y,,,
2,Juan de Fuca Strait,10,10-Aug-18,Pacific Herring,small,5,0,,Y,,,
