kingdom,phylum,class,order,family,genus,species,gbif_query,query,taxo_query_level,higher_taxo_source,worms_query
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV448,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV458,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV461,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV468,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV470,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV482,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV483,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV503,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV505,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV515,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV530,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV545,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV572,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV578,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV609,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV610,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV624,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,4284072,ASV628,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV2,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV12,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV25,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV26,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV48,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV75,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV77,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV78,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV79,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV89,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV104,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV123,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV127,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV131,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV169,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV170,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV174,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV177,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV181,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV194,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV195,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV205,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV220,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV223,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV228,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV230,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV235,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV238,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV251,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV256,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV258,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV265,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV269,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV276,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV282,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV284,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV292,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV293,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV300,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV307,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV311,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV325,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV329,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV333,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV334,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV338,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV340,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV341,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV353,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV355,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV361,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV367,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV371,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV393,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV397,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV399,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV410,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV427,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV428,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV451,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV463,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV466,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV469,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV475,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV487,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV489,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV492,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV497,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV504,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV508,species,gbif,NA
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,2415769,ASV509,species,gbif,NA
