verbatimIdentification,name_type,species,search_string,unique_name,approximate_match,ott_id,is_synonym,flags,number_matches
Larval Sand Lance,orig_species,Larval Sand Lance,larval sand lance,NA,NA,NA,NA,NA,NA
Sea Nettle,orig_species,Sea Nettle,sea nettle,NA,NA,NA,NA,NA,NA
Sea Nettle,sci_name_1,Chrysaora blossevillii,chrysaora blossevillii,Chrysaora lactea,TRUE,256208,FALSE,,1
Sea Nettle,sci_name_2,Chrysaora fulgida,chrysaora fulgida,Chrysaora fulgida,FALSE,3680250,FALSE,,1
Sea Nettle,sci_name_3,Chrysaora fuscescens,chrysaora fuscescens,Chrysaora fuscescens,FALSE,418507,FALSE,,1
Sea Nettle,sci_name_4,Chrysaora pacifica,chrysaora pacifica,Chrysaora pacifica,FALSE,5424634,FALSE,,1
Sea Nettle,sci_name_5,Chrysaora quinquecirrha,chrysaora quinquecirrha,Chrysaora quinquecirrha,FALSE,404507,FALSE,,1
Sea Nettle,sci_name_6,Cyanea capillata,cyanea capillata,Cyanea capillata,FALSE,178412,FALSE,,1
Sea Nettle,sci_name_6,Cyanea capillata,cyanea capillata,Cyanea capillata,FALSE,178412,FALSE,,1
Myctophid,orig_species,Myctophid,myctophid,NA,NA,NA,NA,NA,NA
Euphausiids,orig_species,Euphausiids,euphausiids,Euphausiidae,TRUE,852540,FALSE,,1
Euphausiids,sci_name_1,Euphausiidae,euphausiidae,Euphausiidae,FALSE,852540,FALSE,,1
Siphonophore spp.,orig_species,Siphonophore spp.,siphonophore spp.,NA,NA,NA,NA,NA,NA
American Shad,orig_species,American Shad,american shad,NA,NA,NA,NA,NA,NA
American Shad,sci_name_1,Alosa sapidissima,alosa sapidissima,Alosa sapidissima,FALSE,519453,FALSE,,1
Pyrosome,orig_species,Pyrosome,pyrosome,Pyrrhosoma,TRUE,776330,FALSE,,1
Larval Squid,orig_species,Larval Squid,larval squid,NA,NA,NA,NA,NA,NA
Alaskan Pink Shrimp,orig_species,Alaskan Pink Shrimp,alaskan pink shrimp,NA,NA,NA,NA,NA,NA
Alaskan Pink Shrimp,sci_name_1,Pandalus eous,pandalus eous,Pandalus eous,FALSE,577697,FALSE,sibling_higher,1
Capelin,orig_species,Capelin,capelin,NA,NA,NA,NA,NA,NA
Capelin,sci_name_1,Mallotus catervarius,mallotus catervarius,Mallotus villosus,FALSE,399346,TRUE,,2
Capelin,sci_name_2,Mallotus villosus,mallotus villosus,Mallotus villosus,FALSE,399346,FALSE,,1
Capelin,sci_name_3,Mallotus villosus catervarius,mallotus villosus catervarius,Mallotus villosus catervarius,FALSE,244353,FALSE,infraspecific,2
Clawed Armhook,orig_species,Clawed Armhook,clawed armhook,NA,NA,NA,NA,NA,NA
Clawed Armhooked Squid,orig_species,Clawed Armhooked Squid,clawed armhooked squid,NA,NA,NA,NA,NA,NA
