common_name,leg,location,set_number,date,size_class,number_retained_for_isotopes_and_other_analyses,fa_sample,comments,processed,individs_caught,species,kingdom,phylum,class,order,family,genus,level,LCT
Capelin,NA,NA,4,NA,NA,NA,NA,NA,NA,1,Mallotus villosus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,species,Mallotus villosus
Pacific Hake (Whiting),1,Johnston Strait,4,2018-08-02T00:00:00Z,NA,1,1,NA,Y,NA,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus
Pacific Pacific Hake,NA,NA,4,NA,NA,NA,NA,NA,NA,1,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus
Coho Salmon,1,Johnston Strait,4,2018-08-02T00:00:00Z,NA,1,1,NA,Y,1,Oncorhynchus kisutch,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus kisutch
Spiny Dogfish,1,Johnston Strait,4,2018-08-02T00:00:00Z,NA,5,2,NA,Y,11,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi
Eulachon,1,Johnston Strait,4,2018-08-02T00:00:00Z,NA,36,0,NA,Y,101,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus
Pacific Herring,NA,NA,5,NA,NA,NA,NA,NA,NA,3,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii
Yellowtail Rockfish,1,Johnston Strait,5,2018-08-03T00:00:00Z,NA,1,0,NA,Y,1,Sebastes flavidus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,species,Sebastes flavidus
Eulachon,NA,NA,5,NA,NA,NA,NA,NA,NA,2,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus
Pacific Herring,1,Johnston Strait,6,2018-08-04T00:00:00Z,NA,3,3,NA,Y,3,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii
Walleye Pollock,1,Johnston Strait,6,2018-08-04T00:00:00Z,NA,3,3,NA,Y,15,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus
Pacific Hake,1,Johnston Strait,6,2018-08-04T00:00:00Z,NA,7,4,NA,Y,NA,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus
Pacific Pacific Hake,NA,NA,6,NA,NA,NA,NA,NA,NA,7,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus
Spiny Dogfish,NA,NA,6,NA,NA,NA,NA,NA,NA,62,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi
Spiny Dogfish,1,Johnston Strait,6,2018-08-04T00:00:00Z,small,10,3,smaller size class,Y,NA,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi
Eulachon,1,Johnston Strait,6,2018-08-04T00:00:00Z,NA,6,0,NA,Y,77,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus
Zoarcidae sp,NA,NA,6,NA,NA,NA,NA,NA,NA,29,NA,Animalia ,Chordata,Teleostei,Perciformes,Zoarcidae,NA,family,Zoarcidae sp
Sablefish,1,Johnston Strait,7,2018-08-04T00:00:00Z,NA,1,1,NA,Y,1,Anoplopoma fimbria,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,species,Anoplopoma fimbria
Corphaenidoes sp,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,Animalia ,Chordata,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,genus,Corphaenidoes sp
Walleye Pollock,NA,NA,7,NA,NA,NA,NA,NA,NA,7,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus
Coho Salmon,1,Johnston Strait,7,2018-08-04T00:00:00Z,NA,1,1,NA,Y,1,Oncorhynchus kisutch,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus kisutch
Spiny Dogfish,NA,NA,7,NA,NA,NA,NA,NA,NA,5,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi
Eulachon,NA,NA,7,NA,NA,NA,NA,NA,NA,101,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus
Pacific Herring,2,Juan de Fuca Strait,8,2018-08-08T00:00:00Z,NA,10,5,samples taken for isotopes and FA from different individuals,? (we have 2),100,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii
Walleye Pollock,2,Juan de Fuca Strait,8,2018-08-08T00:00:00Z,NA,10,5,samples taken for isotopes and FA from different individuals,Y,103,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus
Walleye Pollock,2,Juan de Fuca Strait,8,2018-08-08T00:00:00Z,juvenile,1,0,NA,Y,NA,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus
Sockeye Salmon,NA,NA,8,NA,NA,NA,NA,NA,NA,1,Oncorhynchus nerka,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus nerka
Chinook Salmon,2,Juan de Fuca Strait,8,2018-08-08T00:00:00Z,NA,2,2,scales taken on left side behind dorsal fin (took where could find any scales),Y,2,Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus tshawytscha
Eulachon,2,Juan de Fuca Strait,8,2018-08-08T00:00:00Z,NA,10,5,samples taken for isotopes and FA from different individuals,Y,42,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus
Pacific Herring,2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,NA,15,5,NA,Y,100,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii
Myctophid (Diaphus theta),2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,NA,all,0,NA,Y,NA,Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes<ca>,Myctophidae<ca>,Diaphys,species,Diaphus theta
Myctophiid sp,NA,NA,9,NA,NA,NA,NA,NA,NA,7,Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,species,Diaphus theta
Walleye Pollock,2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,small,5,5,samples taken for isotopes and FA from different individuals,Y,NA,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus
Walleye Pollock,NA,NA,9,NA,NA,NA,NA,NA,NA,99,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus
Walleye Pollock,2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,large,5,5,NA,Y,NA,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus
Pacific Hake,2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,NA,10,5,NA,Y,NA,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus
Pacific Pacific Hake,NA,NA,9,NA,NA,NA,NA,NA,NA,26,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus
Chinook Salmon,2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,NA,1,1,scales taken on lateral line on right side behind dorsal fin (took where could find any scales),Y,1,Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus tshawytscha
English Sole,2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,NA,1,1,NA,Y,1,Parophrys vetulus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,species,Parophrys vetulus
Greenland Halibut,2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,NA,4,4,NA,Y,4,Reinhardtius hippoglossoides,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,species,Reinhardtius hippoglossoides
Spiny Dogfish,2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,small,10,5,NA,Y,NA,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi
Spiny Dogfish,2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,large,4,4,NA,Y,NA,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi
Spiny Dogfish,NA,NA,9,NA,NA,NA,NA,NA,NA,22,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi
Eulachon,2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,NA,10,5,samples taken for isotopes and FA from different individuals,Y,100,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus
Pacific Herring,2,Juan de Fuca Strait,10,2018-08-10T00:00:00Z,small,5,0,NA,Y,NA,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii
Pacific Herring,2,Juan de Fuca Strait,10,2018-08-10T00:00:00Z,large,5,5,NA,Y,NA,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii
Pacific Herring,NA,NA,10,NA,NA,NA,NA,NA,NA,19,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii
Lamprey,NA,NA,10,NA,NA,NA,NA,NA,NA,2,Entosphenus tridentatus,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,species,Entosphenus tridentatus
Pacific Lamprey,2,Juan de Fuca Strait,10,2018-08-10T00:00:00Z,NA,2,2,NA,Y,NA,Entosphenus tridentatus,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,species,Entosphenus tridentatus
Walleye Pollock,NA,NA,10,NA,NA,NA,NA,NA,NA,101,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus
Pacific Pacific Hake,NA,NA,10,NA,NA,NA,NA,NA,NA,98,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus
Chinook Salmon,2,Juan de Fuca Strait,10,2018-08-10T00:00:00Z,NA,14,14,"scales from individuals #27 and #28 taken from right side above lateral line; scales taken from regular spot for rest of them (on right side, 2-3 lines below lateral line, behind dorsal fin)",Y (we have 10),14,Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus tshawytscha
Spiny Dogfish,2,Juan de Fuca Strait,10,2018-08-10T00:00:00Z,large,4,4,NA,Y,NA,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi
Spiny Dogfish,NA,NA,10,NA,NA,NA,NA,NA,NA,8,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi
Eulachon,2,Juan de Fuca Strait,10,2018-08-10T00:00:00Z,NA,2,2,NA,Y,2,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus
Myctophiid sp,NA,NA,11,NA,NA,NA,NA,NA,NA,10,Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,species,Diaphus theta
